Year,Budget (in Billion $),Success Rate (%),Duration (in Days),Num_Collaborators,Tech_Maturity,Budget_Per_Day,Mission Type_Unmanned,Technology Used_Nuclear Propulsion,Technology Used_Reusable Rocket,Technology Used_Solar Propulsion,Technology Used_Traditional Rocket,Country_France,Country_Germany,Country_India,Country_Israel,Country_Japan,Country_Russia,Country_UAE,Country_UK,Country_USA,Satellite Type_Navigation,Satellite Type_Research,Satellite Type_Spy,Satellite Type_Weather,Environmental Impact_Low,Environmental Impact_Medium,Tech_Budget_Power
2008,16.2,90.0,112,3,3.0,0.14336283185840706,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,48.599999999999994
2018,29.04,99.0,236,2,2.0,0.12253164556962025,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,58.08
2013,28.73,54.0,238,3,1.0,0.1202092050209205,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,28.73
2010,37.27,58.0,186,1,1.0,0.1993048128342246,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,37.27
2006,18.95,91.0,277,3,2.0,0.06816546762589928,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,37.9
2011,22.76,85.0,166,1,3.0,0.1362874251497006,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,68.28
2011,9.33,81.0,203,3,2.0,0.04573529411764706,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,18.66
2012,6.62,69.0,25,3,2.0,0.25461538461538463,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,13.24
2024,13.25,60.0,341,2,2.0,0.03874269005847953,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,26.5
2011,23.76,66.0,107,1,4.0,0.22,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,95.04
2014,43.67,92.0,117,2,1.0,0.3700847457627119,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,43.67
2007,42.47,53.0,56,1,2.0,0.7450877192982456,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,84.94
2023,11.68,65.0,219,1,1.0,0.05309090909090909,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,11.68
2024,29.52,73.0,303,3,1.0,0.09710526315789474,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,29.52
2002,37.86,90.0,246,1,2.0,0.15327935222672065,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,75.72
2020,25.79,61.0,208,2,4.0,0.12339712918660287,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,103.16
2017,21.53,71.0,360,2,4.0,0.059639889196675906,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,86.12
2013,4.22,73.0,155,2,3.0,0.02705128205128205,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,12.66
2019,47.41,75.0,32,1,1.0,1.4366666666666665,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,47.41
2020,35.59,50.0,73,3,2.0,0.480945945945946,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,71.18
2003,32.21,95.0,147,1,1.0,0.21763513513513513,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,32.21
2008,27.87,57.0,29,2,1.0,0.929,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,27.87
2020,47.06,68.0,241,2,3.0,0.19446280991735537,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,141.18
2015,38.83,50.0,191,3,1.0,0.20223958333333333,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,38.83
2022,48.25,68.0,15,1,3.0,3.015625,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,144.75
2004,6.38,73.0,169,1,1.0,0.03752941176470588,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,6.38
2025,27.01,85.0,81,3,1.0,0.32939024390243904,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,27.01
2017,2.17,56.0,210,1,1.0,0.010284360189573459,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,2.17
2013,44.01,92.0,353,1,1.0,0.12432203389830508,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,44.01
2019,45.31,87.0,260,2,1.0,0.17360153256704983,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,45.31
2006,16.57,71.0,76,3,1.0,0.2151948051948052,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,16.57
2025,47.79,56.0,295,3,4.0,0.1614527027027027,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,191.16
2024,46.17,62.0,322,2,1.0,0.14294117647058824,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,46.17
2025,3.83,65.0,323,3,2.0,0.011820987654320988,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,7.66
2009,11.4,88.0,215,2,1.0,0.05277777777777778,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,11.4
2022,16.89,56.0,326,2,1.0,0.05165137614678899,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,16.89
2016,0.79,82.0,191,3,1.0,0.004114583333333334,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,0.79
2022,1.51,92.0,353,1,2.0,0.004265536723163842,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,3.02
2024,26.05,73.0,307,2,3.0,0.08457792207792209,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,78.15
2011,3.08,64.0,213,1,4.0,0.014392523364485982,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,12.32
